round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
15,0.00038758976734243333,1.0,1.9509327411651611,0.7257499694824219,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.059217289090156555,0.9958606362342834,2.25588321685791,0.6639000177383423,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0011905137216672301,1.0,1.4767773151397705,0.7361500263214111,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.000993602559901774,1.0,1.4648840427398682,0.7585499882698059,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.0005026516737416387,1.0,1.8718857765197754,0.7445999979972839,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
17,0.0005371274310164154,0.9999999403953552,1.5358433723449707,0.7451000213623047,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0007448879186995327,1.0,6824634351616.0,0.7233499884605408,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
21,0.0006433206144720316,0.9999999403953552,1.5553377866744995,0.7327000498771667,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.028105979785323143,0.9984045624732971,2.3675291538238525,0.7160999774932861,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0005703597562387586,1.0,229243273216.0,0.7130500078201294,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0006486137863248587,0.9999999403953552,1.7872706651687622,0.7434500455856323,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0008458890952169895,0.9999999403953552,1.5956693887710571,0.7369000315666199,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.00046489949454553425,1.0,896609419264.0,0.7364000082015991,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.00042320167995058,1.0,1.621872067451477,0.7527000308036804,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0354929082095623,0.9980464577674866,2.0318634510040283,0.7047500610351562,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0013489205157384276,1.0,1.5123796463012695,0.7269999980926514,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
20,0.00024195678997784853,1.0,2.148414373397827,0.7216500043869019,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0009768579620867968,0.9999999403953552,1.4939072132110596,0.7346499562263489,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.017610076814889908,0.999767541885376,152574853120.0,0.7398499846458435,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.000840632535982877,1.0,1.4684906005859375,0.7358500361442566,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.000575950660277158,1.0,1.5316650867462158,0.7534500360488892,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.0006608726107515395,1.0,1.5214236974716187,0.7531500458717346,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0007770801894366741,0.9999999403953552,1.6469157934188843,0.7296000719070435,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0008063353016041219,1.0,1.5583206415176392,0.7336999773979187,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0004130935703869909,1.0,2.090691566467285,0.7339500188827515,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.001051034894771874,0.9999999403953552,1.7210026979446411,0.743399977684021,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0016365546034649014,1.0,1.4762850999832153,0.741100013256073,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.0012457919074222445,1.0,741500911616.0,0.7398499846458435,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0006226630066521466,1.0,1.957717776298523,0.7322499752044678,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
