round_epochs,loss,auc,val_loss,val_auc,first_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
22,48.52769470214844,0.9636214375495911,2124.777099609375,0.625,1000,elu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
50,0.0006650816067121923,0.9999999403953552,2.0369389057159424,0.7036499977111816,1000,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
12,0.3547767400741577,0.969783365726471,980124893184.0,0.6280499696731567,1500,elu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
19,0.08315760642290115,0.9944692850112915,3.4169650077819824,0.6888999342918396,150,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
26,0.008627199567854404,1.0,1.5715157985687256,0.6849499940872192,500,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
15,0.12912948429584503,0.9862877130508423,412450586624.0,0.6865500211715698,150,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
48,0.0077359313145279884,0.9999842643737793,87819264000.0,0.6998499631881714,1500,elu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
23,0.0028907747473567724,1.0,1.6649683713912964,0.6995999813079834,1500,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
27,34.9025764465332,0.9786967039108276,5795.21044921875,0.6499999761581421,1500,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
16,70.51239013671875,0.9183077216148376,482739593674752.0,0.6450000405311584,500,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
41,0.00820587482303381,1.0,219030994944.0,0.701200008392334,1500,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
23,0.42706942558288574,0.9836716651916504,24.611133575439453,0.6626999974250793,1000,relu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
13,86.9661636352539,0.9235588908195496,6702951301120.0,0.6149999499320984,1500,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
34,0.0029141332488507032,1.0,1.7260806560516357,0.7060499787330627,1500,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
21,0.022277936339378357,1.0,1.2579518556594849,0.7115500569343567,150,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
18,0.10247114300727844,0.9929114580154419,3.5323548316955566,0.6955999732017517,150,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
12,0.436943918466568,0.9620763063430786,1419080892416.0,0.6192499399185181,1000,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
15,0.6476161479949951,0.973090648651123,19.867847442626953,0.6700500249862671,500,relu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
18,8.847976684570312,0.9635241031646729,8821322809344.0,0.6515499949455261,1000,relu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
13,1.051934003829956,0.9329369068145752,15.583902359008789,0.5866999626159668,1000,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
31,14.375548362731934,0.9824561476707458,3097.513427734375,0.6449999809265137,500,elu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c53e4550>
