round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
29,0.05657830089330673,0.9972204566001892,2.8100404739379883,0.6939499974250793,1000,250,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
15,0.08851568400859833,0.996570348739624,1.6193780899047852,0.7134999632835388,250,250,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
22,0.1383221596479416,0.9881658554077148,3.2900402545928955,0.6742500066757202,500,250,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.7914831042289734,0.5073240399360657,0.697815477848053,0.5,100,100,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
26,0.7514212727546692,0.517179548740387,0.7234966158866882,0.5,100,100,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
16,0.6934696435928345,0.5029239654541016,0.6942664384841919,0.5,250,150,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.9604092836380005,0.5267335176467896,0.6991417407989502,0.5,250,100,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.6974425911903381,0.48109936714172363,0.6932981610298157,0.5049999952316284,1000,150,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.919152557849884,0.5233415961265564,0.7131421566009521,0.5,250,150,elu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,1.026485800743103,0.5586302876472473,0.7285749912261963,0.5478500127792358,50,150,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
17,0.1158742681145668,0.9911496043205261,45984456704.0,0.6972499489784241,500,100,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
28,0.06148022040724754,0.9969316124916077,18606174208.0,0.6873499751091003,100,100,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.9169573783874512,0.4773399829864502,0.6960151791572571,0.5049999952316284,150,150,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
12,0.4224255383014679,0.931266188621521,1.5082539319992065,0.6796000003814697,50,150,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.1810978651046753,0.9804304242134094,2.4228804111480713,0.659250020980835,500,250,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
12,0.7084372639656067,0.4839259684085846,0.693224310874939,0.5,500,150,relu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
12,0.0889708548784256,0.9964227676391602,41648578560.0,0.6808500289916992,150,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
26,0.2954736351966858,0.9713601469993591,3.0909311771392822,0.6912500262260437,100,100,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,2.9314637184143066,0.49554336071014404,0.6934143304824829,0.5,100,250,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.6932673454284668,0.49619346857070923,0.6931607723236084,0.5,1000,100,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,1.0117558240890503,0.5019786357879639,0.704227089881897,0.5,100,150,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
14,0.09824726730585098,0.9945101141929626,3.154470205307007,0.6929500102996826,250,250,relu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.17802126705646515,0.9811151027679443,2.210918664932251,0.6802999377250671,150,250,elu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.14514228701591492,0.9869881272315979,1.5831831693649292,0.6677500009536743,50,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
20,0.07335501164197922,0.9981627464294434,1.7265210151672363,0.6886000037193298,100,100,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
19,0.15303835272789001,0.9901917576789856,2.7331972122192383,0.6855000257492065,100,250,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
23,0.027011480182409286,0.9997550249099731,2.449453592300415,0.6644999384880066,250,100,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
44,0.012365970760583878,0.9999309182167053,5010006528.0,0.6633500456809998,50,250,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
14,0.1401967704296112,0.9876947402954102,96824500224.0,0.6958500146865845,50,100,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
23,0.04258991405367851,0.998077929019928,2.641822099685669,0.7221999764442444,1000,250,relu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
14,0.09033193439245224,0.9949277639389038,2.5212364196777344,0.6439499855041504,150,150,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
16,0.04927341267466545,0.9988411068916321,58292809728.0,0.6660500764846802,1000,100,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
12,0.6974198818206787,0.482716828584671,0.6932176351547241,0.5,500,150,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
26,0.06648422032594681,0.9970886707305908,2.1064870357513428,0.6872999668121338,100,250,elu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
27,0.00245077908039093,1.0,2.850830078125,0.7133499979972839,1000,100,relu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
21,0.2568396031856537,0.9705561995506287,2.868795156478882,0.6416000127792358,50,250,elu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.9133344888687134,0.467402845621109,0.8570004105567932,0.5,100,150,elu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
19,0.11389545351266861,0.9920729398727417,1.8648571968078613,0.6875,150,250,elu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
18,0.020745649933815002,0.9999465942382812,2.2871575355529785,0.6908499598503113,250,250,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.05909217894077301,0.9979679584503174,1.9644030332565308,0.6804499626159668,500,100,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
13,0.28481951355934143,0.9506503939628601,16468964352.0,0.6811500191688538,50,100,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
11,0.1737041175365448,0.982308566570282,14263438336.0,0.6654999852180481,100,250,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
15,0.2664932310581207,0.9637879133224487,45589315584.0,0.6789000034332275,50,250,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
16,0.19727854430675507,0.9773399829864502,44788244480.0,0.6925999522209167,100,250,elu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
16,0.06673674285411835,0.9964479804039001,3.9074318408966064,0.6725999712944031,500,250,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
12,0.6956918835639954,0.4756031632423401,0.6936209201812744,0.5,250,100,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
34,0.4998055398464203,0.9597206711769104,151927865344.0,0.6419000029563904,500,250,elu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f73c6ff5400>
