round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,third_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
11,0.22825704514980316,0.9710962772369385,2.222839117050171,0.7337999939918518,1000,500,100,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.4026228189468384,0.5080841183662415,0.7074092030525208,0.5,1000,500,250,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.0019389543449506164,1.0,1.678499698638916,0.7464998960494995,1000,500,100,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.8017687797546387,0.49995601177215576,0.718454122543335,0.5,1000,750,250,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,4.3993024826049805,0.5016645789146423,3.633326768875122,0.5049999952316284,1000,500,150,elu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
33,0.8394156694412231,0.7500958442687988,2.088944911956787,0.6824499368667603,1000,500,250,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
26,0.09744103997945786,0.9939793944358826,2266867171328.0,0.7210000157356262,1000,500,250,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.22519834339618683,0.97830730676651,2.7878992557525635,0.6898999810218811,1000,1000,500,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.6880614757537842,0.49332916736602783,14.79876708984375,0.4900500178337097,1000,750,250,relu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
29,0.018269114196300507,0.9998241662979126,13.407522201538086,0.7191500067710876,1000,1000,150,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,15.77078914642334,0.45623141527175903,2.750603437423706,0.4950000047683716,1000,1000,250,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.3233340978622437,0.5339791178703308,0.6931629776954651,0.5,1000,1000,250,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.700413167476654,0.5189634561538696,0.6934613585472107,0.5,1000,1000,100,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,4.276416301727295,0.49659234285354614,1.2304326295852661,0.5199999809265137,1000,750,150,elu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
23,0.6939600706100464,0.4813569188117981,0.6915748119354248,0.5049999952316284,1000,500,250,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
16,0.005380012094974518,1.0,2.0442967414855957,0.7177499532699585,1000,500,150,elu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,1.0405550003051758,0.5076255202293396,0.6943922638893127,0.5,1000,500,150,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.8490209579467773,0.45539599657058716,0.7224614024162292,0.5,1000,500,100,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.018297791481018,0.5223051309585571,0.7012178301811218,0.5,1000,750,100,elu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.0007325990591198206,0.9999999403953552,1.590395450592041,0.7620999813079834,1000,750,250,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.7323108315467834,0.4789542555809021,0.6929879188537598,0.5049999952316284,1000,1000,250,elu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
26,0.6584365367889404,0.7527621984481812,195262365696.0,0.6718000173568726,1000,750,100,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
33,0.5404255986213684,0.7323729395866394,2.1509881019592285,0.6399499773979187,1000,750,250,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.6925196647644043,0.48550891876220703,0.6956252455711365,0.5,1000,1000,100,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
15,0.0440022274851799,0.9988505244255066,252398010368.0,0.7278000116348267,1000,500,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,2.3990116119384766,0.46264785528182983,45.292510986328125,0.5249999761581421,1000,1000,150,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
25,0.03818279504776001,0.9992115497589111,2.4399704933166504,0.7608999609947205,1000,750,150,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,3.659980058670044,0.4799530506134033,3.0947561264038086,0.5,1000,1000,150,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
24,0.16486944258213043,0.9876885414123535,2.185072898864746,0.7453499436378479,1000,750,500,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.8411765694618225,0.48876577615737915,0.6861813068389893,0.5099999904632568,1000,500,100,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.043084386736154556,0.9967241883277893,2.596100091934204,0.7153500318527222,1000,1000,100,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
20,0.5382734537124634,0.7878938317298889,2.1832313537597656,0.6759001016616821,1000,750,500,elu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
24,0.3396744132041931,0.8932575583457947,6150827278336.0,0.7076500058174133,1000,750,250,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.6936821937561035,0.4618501365184784,0.6931942701339722,0.5,1000,750,250,relu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.7255573272705078,0.4878738522529602,0.7067133188247681,0.5,1000,1000,150,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.6859003305435181,0.6328446269035339,1.1854221820831299,0.6260499954223633,1000,750,500,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.6923471689224243,0.5125187635421753,0.6951160430908203,0.5,1000,750,150,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
19,0.9026090502738953,0.5247014760971069,0.9677576422691345,0.5049999952316284,1000,1000,500,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.02047804556787014,0.9986055493354797,2.4986019134521484,0.7406999468803406,1000,750,100,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
14,0.00014742405619472265,1.0,3.249680757522583,0.7193999886512756,1000,750,250,relu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
14,0.6811462044715881,0.5094628930091858,0.9239581227302551,0.5535500049591064,1000,500,250,relu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
23,0.2781541049480438,0.9680122137069702,1.9082380533218384,0.713450014591217,1000,1000,500,relu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
17,0.7273977994918823,0.47278910875320435,0.6950328946113586,0.5,1000,500,150,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.6934285759925842,0.5,0.6932242512702942,0.5,1000,750,100,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
18,0.6923888325691223,0.4752168655395508,0.6933329701423645,0.5,1000,750,150,relu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.2572423219680786,0.4948398470878601,14.17233657836914,0.4950000047683716,1000,500,150,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
15,0.5963907837867737,0.824774980545044,0.7213824391365051,0.6854000091552734,1000,750,500,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
14,0.07329115271568298,0.9948773980140686,1148433596416.0,0.7443000078201294,1000,750,150,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
15,0.8701916337013245,0.5697546005249023,1.5142079591751099,0.5641000866889954,1000,750,250,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
21,0.5926011800765991,0.7075803875923157,2.625819683074951,0.635200023651123,1000,1000,100,relu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,0.6939184069633484,0.4551919102668762,17.374082565307617,0.5,1000,500,250,relu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
18,7.32701737433672e-05,1.0,2.3133859634399414,0.7359499335289001,1000,500,250,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
12,0.03495892137289047,0.9981752038002014,2.9691619873046875,0.7282500863075256,1000,750,500,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,11.544015884399414,0.5012531280517578,168.29051208496094,0.5,1000,750,500,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
15,0.8535887598991394,0.5649148225784302,0.6989247798919678,0.5,1000,500,250,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
20,4.40976582467556e-05,1.0,2.5622315406799316,0.7612999677658081,1000,500,250,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.018592141568660736,0.9998522996902466,1.8662015199661255,0.7404000163078308,1000,500,500,relu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
14,0.001631140592508018,1.0,2.290102958679199,0.760699987411499,1000,1000,500,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
11,1.2183979749679565,0.4815610349178314,0.6966732144355774,0.5,1000,1000,100,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
16,0.06009829416871071,0.9983229041099548,675961920.0,0.7236000299453735,1000,500,500,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
20,0.5854968428611755,0.7598915696144104,1.2816942930221558,0.6106499433517456,1000,750,150,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
16,0.00037410331424325705,1.0,1.6954240798950195,0.7568999528884888,1000,1000,250,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
13,0.08017873764038086,0.9938788414001465,1.8788862228393555,0.7638999223709106,1000,1000,250,elu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65b41b4160>
