analyte_name,armss_coeff,pvalue,CI,model_converged_flag,analyte_type,selection_flag
baclofen,1.984722441,5.66E-21,"(1.5707272667665961, 2.3987176148485876)",TRUE,untargeted,FALSE
cytidine,-1.004575687,3.06E-09,"(-1.3366997202683533, -0.6724516536055742)",TRUE,untargeted,TRUE
N-acetylhistidine,-0.499150052,9.7E-08,"(-0.6826193300697873, -0.31568077313795806)",TRUE,untargeted,TRUE
gamma-glutamyl-alpha-lysine,-0.685346688,1.17E-07,"(-0.9389135314563704, -0.4317798442446626)",TRUE,untargeted,TRUE
glutamine,-0.481036991,3.64E-07,"(-0.6663720856953478, -0.29570189718409556)",TRUE,untargeted,TRUE
dihydroferulate,-1.30450386,4.39E-07,"(-1.8106609997959158, -0.7983467197507225)",TRUE,untargeted,TRUE
cysteine s-sulfate,-0.654663018,9.04E-07,"(-0.9159104390187942, -0.39341559746713783)",TRUE,untargeted,TRUE
gamma-glutamylhistidine,-1.036431731,9.16E-07,"(-1.4502384580855696, -0.6226250039261876)",TRUE,untargeted,TRUE
gamma-glutamylglutamine,-1.034176406,1.07E-06,"(-1.4496825813057892, -0.6186702311130323)",TRUE,untargeted,TRUE
arginine,-1.486657571,1.97E-06,"(-2.0992672489927973, -0.8740478929785143)",TRUE,untargeted,TRUE
histidine,-0.478158967,8.07E-06,"(-0.6881372351543048, -0.2681806995776338)",TRUE,untargeted,TRUE
cysteine,-0.463436034,1.01E-05,"(-0.6692079644476632, -0.2576641031624002)",TRUE,untargeted,TRUE
gamma-glutamylthreonine,-0.635756567,1.17E-05,"(-0.9200326957174996, -0.35148043886061875)",TRUE,untargeted,TRUE
oxindolylalanine,-0.554103552,1.34E-05,"(-0.8035384366649447, -0.3046686679934582)",TRUE,untargeted,TRUE
tyrosine,-0.459191111,1.54E-05,"(-0.6674023631685355, -0.25097985941684176)",TRUE,untargeted,TRUE
dihydrocaffeate sulfate (2),-2.623873913,1.74E-05,"(-3.8209424685016877, -1.4268053575189488)",TRUE,untargeted,FALSE
methionine sulfoxide,-0.440724282,2.34E-05,"(-0.6449612011506197, -0.23648736357894207)",TRUE,untargeted,TRUE
pantothenate,-0.58929898,2.9E-05,"(-0.8655245011533769, -0.31307345889463944)",TRUE,untargeted,FALSE
glucuronate,-0.871231915,3.21E-05,"(-1.281937307972704, -0.4605265218794726)",TRUE,untargeted,TRUE
glutamate,-0.411352679,4.19E-05,"(-0.6081483444056851, -0.21455701423641385)",TRUE,untargeted,TRUE
caffeic acid sulfate,-1.869288928,4.39E-05,"(-2.765924883088095, -0.9726529727883794)",TRUE,untargeted,FALSE
4-methylcatechol sulfate,-2.004510662,5.05E-05,"(-2.973825079615691, -1.0351962451734322)",TRUE,untargeted,TRUE
phenylalanine,-0.336020267,5.27E-05,"(-0.498896431412496, -0.1731441019809969)",TRUE,untargeted,TRUE
5-acetylamino-6-formylamino-3-methyluracil,-1.484280132,6.52E-05,"(-2.2128048177407265, -0.755755446033095)",TRUE,untargeted,FALSE
N-acetylthreonine,-0.505420496,9.14E-05,"(-0.7586164873757563, -0.25222450509953165)",TRUE,untargeted,TRUE
gamma-glutamylmethionine,-0.834804476,0.000102668,"(-1.2560463168751297, -0.4135626360011434)",TRUE,untargeted,TRUE
aspartate,-0.3989549,0.000125037,"(-0.6027949122802015, -0.19511488714374858)",TRUE,untargeted,TRUE
1-(1-enyl-oleoyl)-GPE (P-18:1)*,-1.014532114,0.000127378,"(-1.5335090495474009, -0.49555517882483413)",TRUE,untargeted,TRUE
glycerophosphoserine*,-0.756891316,0.000137194,"(-1.1459320056564541, -0.3678506254400213)",TRUE,untargeted,TRUE
linoleoyl ethanolamide,-1.899627814,0.000150665,"(-2.8820106177600517, -0.9172450107592977)",TRUE,untargeted,TRUE
pyruvate,-0.659141285,0.000197748,"(-1.0062492978243647, -0.3120332712294771)",TRUE,untargeted,TRUE
2-hydroxy-4-(methylthio)butanoic acid,-1.750066539,0.000220698,"(-2.6786015083597503, -0.821531568748824)",TRUE,untargeted,TRUE
serine,-0.338748882,0.000227597,"(-0.518861074356629, -0.15863668932659217)",TRUE,untargeted,TRUE
tryptophan,-0.440595395,0.000233887,"(-0.6753015037871298, -0.20588928528793202)",TRUE,untargeted,TRUE
(N(1) + N(8))-acetylspermidine,-1.214891809,0.000267667,"(-1.8682024219867466, -0.5615811969840273)",TRUE,untargeted,TRUE
lysine,-0.334619619,0.000305337,"(-0.5162567078190545, -0.15298253094823291)",TRUE,untargeted,TRUE
methionine sulfone,-0.615171094,0.000321638,"(-0.9503503747459005, -0.27999181409589247)",TRUE,untargeted,TRUE
threonine,-0.40025278,0.000345226,"(-0.6194573919274027, -0.1810481678822973)",TRUE,untargeted,TRUE
catechol sulfate,-2.584646448,0.000369553,"(-4.007258820797322, -1.1620340742528916)",TRUE,untargeted,TRUE
leucine,-0.290727957,0.000397797,"(-0.45162296890539366, -0.12983294526589836)",TRUE,untargeted,TRUE
spermidine,-1.166061747,0.000406427,"(-1.8124191702718249, -0.5197043244507272)",TRUE,untargeted,TRUE
cysteine sulfinic acid,-0.539027611,0.000409876,"(-0.8380037837761858, -0.24005143822326108)",TRUE,untargeted,TRUE
hypoxanthine,-0.532345275,0.000432755,"(-0.8288218318404627, -0.23586871818103383)",TRUE,untargeted,FALSE
succinate,-0.804369061,0.00044866,"(-1.253566172602477, -0.35517194968002885)",TRUE,untargeted,TRUE
"2R,3R-dihydroxybutyrate",-0.466266573,0.000466629,"(-0.7274295842912661, -0.20510356252434486)",TRUE,untargeted,TRUE
xanthosine,-0.832157148,0.00052825,"(-1.3027269270384336, -0.3615873686639773)",TRUE,untargeted,FALSE
alpha-hydroxyisovalerate,-1.695166977,0.000539205,"(-2.6552830297010215, -0.7350509234191963)",TRUE,untargeted,TRUE
2-isopropylmalate,-1.138900199,0.000610041,"(-1.790237092194685, -0.48756330636406997)",TRUE,untargeted,TRUE
"5,6-dihydrouridine",-0.505991631,0.00065087,"(-0.79686461288709, -0.21511864984041612)",TRUE,untargeted,TRUE
dihydroferulic acid sulfate,-2.446486521,0.000655521,"(-3.853668864460685, -1.0393041779223486)",TRUE,untargeted,TRUE
Isovaleric acid,0.435299957,0.000802355,"(0.18077220179846631, 0.68982771295882)",TRUE,targeted,TRUE
uridine,-0.670556357,0.000844363,"(-1.0643054238139622, -0.27680728979309754)",TRUE,untargeted,TRUE
gentisate,-1.151034663,0.0008969,"(-1.8303405153234502, -0.47172881133973643)",TRUE,untargeted,TRUE
gamma-glutamylphenylalanine,-0.671586498,0.000904209,"(-1.0682071377668942, -0.27496585796704237)",TRUE,untargeted,TRUE
linolenate [alpha or gamma; (18:3n3 or 6)],-1.271373843,0.001091395,"(-2.034377002307458, -0.5083706835046334)",TRUE,untargeted,TRUE
phenylacetate,0.423203681,0.001095924,"(0.1691307042774446, 0.6772766580752371)",TRUE,untargeted,TRUE
valine,-0.452901062,0.001185939,"(-0.7266838962343005, -0.17911822728254306)",TRUE,untargeted,TRUE
docosahexaenoate (DHA; 22:6n3),-1.94439263,0.001247463,"(-3.125054339655812, -0.7637309197493436)",TRUE,untargeted,FALSE
acesulfame,-2.200569409,0.001252119,"(-3.537226582805082, -0.8639122358215936)",TRUE,untargeted,FALSE
glycylvaline,-0.439315147,0.001319652,"(-0.7074128980666341, -0.1712173968172262)",TRUE,untargeted,TRUE
erythronate*,-0.582837079,0.001349323,"(-0.9392304624939365, -0.22644369595572716)",TRUE,untargeted,TRUE
3-hydroxy-3-methylglutarate,-0.923958933,0.001398776,"(-1.4907761062408862, -0.3571417594479107)",TRUE,untargeted,TRUE
"N6,N6,N6-trimethyllysine",-0.967824584,0.001428802,"(-1.5626941236172294, -0.3729550449232858)",TRUE,untargeted,TRUE
3-sulfo-alanine,-0.625897493,0.001437741,"(-1.010820596493262, -0.2409743894587415)",TRUE,untargeted,TRUE
argininate*,-0.627024057,0.00160195,"(-1.0164788338940056, -0.23756927982529363)",TRUE,untargeted,TRUE
2'-deoxyuridine,-0.525672194,0.001682886,"(-0.8536731264736477, -0.19767126206552904)",TRUE,untargeted,TRUE
xylose,-1.104040695,0.001683923,"(-1.792962770390981, -0.4151186195364943)",TRUE,untargeted,FALSE
cytosine,-0.547035668,0.001705287,"(-0.8887882159863284, -0.2052831202212394)",TRUE,untargeted,TRUE
N6-acetyllysine,-0.320496755,0.001740096,"(-0.5211015363302993, -0.1198919739724526)",TRUE,untargeted,TRUE
2-hydroxyglutarate,-0.779693049,0.001746703,"(-1.2678907192212692, -0.29149537796936226)",TRUE,untargeted,TRUE
methionine,-0.381118284,0.001804938,"(-0.6204896653022797, -0.14174690248248664)",TRUE,untargeted,TRUE
asparagine,-1.010888317,0.001858609,"(-1.6475661873503273, -0.37421044586224306)",TRUE,untargeted,TRUE
fructosyllysine,-0.804842549,0.001946503,"(-1.313984606255247, -0.29570049271039334)",TRUE,untargeted,TRUE
N-formylmethionine,-0.478593827,0.002026505,"(-0.7825242716848464, -0.17466338310007617)",TRUE,untargeted,TRUE
1-oleoyl-GPI (18:1),-1.185817366,0.00212158,"(-1.9422164145593541, -0.42941831739439174)",TRUE,untargeted,TRUE
2-Methylbutyric acid,0.398922814,0.002354318,"(0.14185098822643344, 0.6559946405415751)",TRUE,targeted,TRUE
indolelactate,-1.215732572,0.002514707,"(-2.004327622307755, -0.4271375213447536)",TRUE,untargeted,TRUE
lyxonate,-0.500815364,0.002569558,"(-0.8263779016128097, -0.1752528258408419)",TRUE,untargeted,TRUE
3-(3-hydroxyphenyl)propionate,-1.593370471,0.002977779,"(-2.6448603836522837, -0.5418805585616351)",TRUE,untargeted,TRUE
glycerate,-0.408606333,0.002986179,"(-0.6783305945065692, -0.13888207121642954)",TRUE,untargeted,TRUE
"1,7-dimethylurate",-0.948718822,0.003070576,"(-1.5767893259839507, -0.3206483183889669)",TRUE,untargeted,TRUE
heptenedioate (C7:1-DC)*,-0.370108834,0.003078316,"(-0.6151923613897213, -0.12502530627376218)",TRUE,untargeted,Ture
citrulline,-0.27219257,0.003265705,"(-0.45355512371714424, -0.090830016945088)",TRUE,untargeted,TRUE
5-hydroxylysine,-1.07124056,0.00338625,"(-1.7877495855373957, -0.354731535114864)",TRUE,untargeted,TRUE
isoleucine,-0.240963297,0.003434123,"(-0.4023742187294288, -0.07955237523607497)",TRUE,untargeted,TRUE
S-1-pyrroline-5-carboxylate,-0.353618631,0.003454284,"(-0.5906400641315394, -0.116597198480859)",TRUE,untargeted,TRUE
cysteinylglycine,-0.640630803,0.003531684,"(-1.0710453707712875, -0.21021623530715766)",TRUE,untargeted,TRUE
taurine,-1.743139113,0.003558974,"(-2.9152504797956933, -0.5710277467776588)",TRUE,untargeted,TRUE
N-formylphenylalanine,-0.370212699,0.003657207,"(-0.6198777155075501, -0.12054768212107841)",TRUE,untargeted,TRUE
1-linolenoylglycerol (18:3),-1.435719933,0.00377033,"(-2.4071346446235093, -0.46430522165287325)",TRUE,untargeted,TRUE
riboflavin (vitamin B2),-0.276259843,0.003782994,"(-0.46324644283714816, -0.08927324359271388)",TRUE,untargeted,FALSE
nicotinate ribonucleoside,-0.757347934,0.003842123,"(-1.2708229370661215, -0.2438729317461199)",TRUE,untargeted,TRUE
alanine,-0.306603438,0.004010173,"(-0.5154516906050767, -0.09775518635219202)",TRUE,untargeted,TRUE
sarcosine,-0.778319458,0.004087456,"(-1.309598302622521, -0.24704061324384452)",TRUE,untargeted,TRUE
pyrraline,-0.799071013,0.004091457,"(-1.3445735695619434, -0.25356845724153576)",TRUE,untargeted,TRUE
TRUE,-0.7186919,0.004174954,"(-1.2104167396024308, -0.2269670604592089)",TRUE,untargeted,TRUE
threonate,-0.683569736,0.004589392,"(-1.1562317290294577, -0.2109077429709303)",TRUE,untargeted,FALSE
uracil,-0.478328859,0.004614157,"(-0.8092755516648793, -0.14738216581223024)",TRUE,untargeted,TRUE
kynurenine,-0.420546537,0.004697608,"(-0.7121049758409497, -0.12898809832962965)",TRUE,untargeted,TRUE
1-oleoyl-GPE (18:1),-0.681937157,0.004741075,"(-1.1552076448424544, -0.20866666917270837)",TRUE,untargeted,TRUE
glycine,-0.475333969,0.004799831,"(-0.8056820215012388, -0.14498591742992184)",TRUE,untargeted,TRUE
xanthine,-0.561586291,0.005237152,"(-0.9558055158869118, -0.1673670660348182)",TRUE,untargeted,TRUE
N-acetylarginine,-0.389125593,0.005253729,"(-0.6623819068877419, -0.11586928001318758)",TRUE,untargeted,TRUE
2-hydroxybutyrate/2-hydroxyisobutyrate,-0.920941171,0.005395174,"(-1.5696563763276528, -0.27222596484430717)",TRUE,untargeted,TRUE
N-acetylputrescine,-1.016468039,0.005744993,"(-1.737773869528168, -0.2951622093598997)",TRUE,untargeted,TRUE
indolepropionate,-0.693904996,0.005985636,"(-1.1887187307207523, -0.19909126186509135)",TRUE,untargeted,TRUE
palmitoyl ethanolamide,-0.966201071,0.006107286,"(-1.656844218188037, -0.2755579235721489)",TRUE,untargeted,TRUE
N-delta-acetylornithine,-0.538985689,0.00623347,"(-0.925201276007465, -0.15277010298830646)",TRUE,untargeted,TRUE
gamma-glutamylglycine,-0.727990601,0.0063355,"(-1.2506615112326824, -0.20531969092782998)",TRUE,untargeted,TRUE
3-hydroxyhexanoate,-0.802374982,0.006373456,"(-1.3788671725643655, -0.22588279109830367)",TRUE,untargeted,TRUE
N-stearoyl-sphinganine (d18:0/18:0)*,0.564892117,0.006525532,"(0.15786514347785652, 0.971919090563217)",TRUE,untargeted,TRUE
enterolactone sulfate,-2.040369726,0.006630617,"(-3.5133991599446177, -0.5673402916399231)",TRUE,untargeted,FALSE
3-hydroxysebacate,-0.539040027,0.006819559,"(-0.9295362448982541, -0.14854380978234494)",TRUE,untargeted,TRUE
"1,2-dipalmitoyl-GPC (16:0/16:0)",-0.806971044,0.007291222,"(-1.3964200079513258, -0.21752207974533266)",TRUE,untargeted,TRUE
5-methylthioadenosine (MTA),-0.709674207,0.007421278,"(-1.229198840324302, -0.19014957458742898)",TRUE,untargeted,TRUE
hippurate,-2.235835582,0.007519967,"(-3.8753150028443613, -0.5963561612194277)",TRUE,untargeted,FALSE
fumarate,-0.51754954,0.008045129,"(-0.9003093179113877, -0.13478976163160733)",TRUE,untargeted,TRUE
salicylate,-0.716046024,0.008824179,"(-1.2519513328141383, -0.18014071553732824)",TRUE,untargeted,FALSE
